series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Location	Reporting Type
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1990.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1990.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1990.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1991.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1991.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1991.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1992.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1992.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1992.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1993.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1993.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1993.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1994.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1994.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1994.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1995.0	NaN	String						World Bank		['']	N	PERCENT	URBAN	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1995.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1995.0	NaN	String						World Bank		['']	N	PERCENT	RURAL	G
EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	430	Liberia	1996.0	NaN	String						World Bank		['']	N	PERCENT	ALLAREA	G
