series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2000.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 6 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2001.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 6 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2002.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2003.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2004.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2005.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2006.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2007.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2008.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2009.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 7 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2010.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2011.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2012.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2013.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2014.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2015.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2016.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2017.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2018.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	800	Uganda	2019.0	NA	String					DAD-IS 2020 http://www.fao.org/dad-is/	['Out of 13 local breeds, 100% are of unknown status']	NA	PERCENT	G
