series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2000.0	0.934	Float					Ministry of Information and Communications Technology.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2001.0	1.484	Float					Ministry of Information and Communications Technology.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2002.0	4.626	Float					Ministry of Information and Communications Technology.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2003.0	6.934	Float					Communications Regulatory Authority (CRA).	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2004.0	7.490	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2005.0	8.100	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2006.0	8.760	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2007.0	9.470	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2008.0	12.020	Float					Statistical Centre of Iran (SCI)	['Population age 6+.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2009.0	13.800	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2010.0	15.900	Float					Statistical Center of Iran.	['Population age 6+.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2011.0	19.000	Float					ITU estimate.	['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2012.0	22.730	Float					Statistical Centre of Iran (SCI)	['Population age 6+.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2013.0	29.950	Float					Statistical Centre of Iran (SCI)	['Population age 6+.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2014.0	39.350	Float					Statistical Centre of Iran (SCI)	['Country estimate.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2015.0	45.335	Float					Statistical Centre of Iran (SCI)	['Country estimate.']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2016.0	53.227	Float					Statistical Centre of Iran (SCI)	['1. Age 6 and over  2. HH7. Proportion of individuals using the Internet is 53.23%  ']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2017.0	64.044	Float					Statistical Centre of Iran (SCI)	['1. Non-final results from ICT survey  2. The results of the ICT survey will be finalized in July 2018.  3. Age 6 and over  4. HH7. Proportion of individuals using the Internet is 60.42%']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	364	Iran (Islamic Republic of)	2018.0	70.005	Float					Statistical Centre of Iran (SCI)	['']	NA	PER_100_POP	G
